date,home_team,away_team,home_score,away_score,tournament,country,neutral
2018-03-23,Argentina,Italy,2,0,Friendly,England,True
2018-03-23,Germany,Spain,1,1,Friendly,Germany,False
2018-03-27,Spain,Argentina,6,1,Friendly,Spain,False
2018-05-29,Argentina,Haiti,4,0,Friendly,Argentina,False
2018-06-03,Spain,Switzerland,1,1,Friendly,Spain,False
2018-06-09,Spain,Tunisia,1,0,Friendly,Russia,True
2018-06-15,Portugal,Spain,3,3,World Cup,Russia,True
2018-06-16,Argentina,Iceland,1,1,World Cup,Russia,True
2018-06-20,Spain,Iran,1,0,World Cup,Russia,True
2018-06-21,Croatia,Argentina,3,0,World Cup,Russia,True
2018-06-25,Morocco,Spain,2,2,World Cup,Russia,True
2018-06-26,Argentina,Nigeria,2,1,World Cup,Russia,True
2018-06-30,France,Argentina,4,3,World Cup,Russia,True
2018-07-01,Russia,Spain,1,1,World Cup,Russia,False
2018-09-07,Argentina,Guatemala,3,0,Friendly,United States,True
2018-09-08,England,Spain,1,2,European Nations League A,England,False
2018-09-11,Argentina,Colombia,0,0,Friendly,United States,True
2018-09-11,Spain,Croatia,6,0,European Nations League A,Spain,False
2018-10-11,Argentina,Iraq,4,0,Friendly tournament,Saudi Arabia,True
2018-10-11,Wales,Spain,1,4,Friendly,Wales,False
2018-10-15,Spain,England,2,3,European Nations League A,Spain,False
2018-10-16,Brazil,Argentina,1,0,Friendly tournament,Saudi Arabia,True
2018-11-15,Croatia,Spain,3,2,European Nations League A,Croatia,False
2018-11-16,Argentina,Mexico,2,0,Friendly,Argentina,False
2018-11-18,Spain,Bosnia and Herzegovina,1,0,Friendly,Spain,False
2018-11-20,Argentina,Mexico,2,0,Friendly,Argentina,False
2019-03-22,Venezuela,Argentina,3,1,Friendly,Spain,True
2019-03-23,Spain,Norway,2,1,European Championship qual,Spain,False
2019-03-26,Morocco,Argentina,0,1,Friendly,Morocco,False
2019-03-26,Malta,Spain,0,2,European Championship qual,Malta,False
2019-06-07,Argentina,Nicaragua,5,1,Friendly,Argentina,False
2019-06-07,Faroe Islands,Spain,1,4,European Championship qual,Faroe Islands,False
2019-06-10,Spain,Sweden,3,0,European Championship qual,Spain,False
2019-06-15,Colombia,Argentina,2,0,Copa America,Brazil,True
2019-06-19,Argentina,Paraguay,1,1,Copa America,Brazil,True
2019-06-23,Argentina,Qatar,2,0,Copa America,Brazil,True
2019-06-28,Argentina,Venezuela,2,0,Copa America,Brazil,True
2019-07-02,Brazil,Argentina,2,0,Copa America,Brazil,False
2019-07-06,Argentina,Chile,2,1,Copa America,Brazil,True
2019-09-05,Argentina,Chile,0,0,Friendly,United States,True
2019-09-05,Romania,Spain,1,2,European Championship qual,Romania,False
2019-09-08,Spain,Faroe Islands,4,0,European Championship qual,Spain,False
2019-09-10,Argentina,Mexico,4,0,Friendly,United States,True
2019-10-09,Germany,Argentina,2,2,Friendly,Germany,False
2019-10-12,Norway,Spain,1,1,European Championship qual,Norway,False
2019-10-13,Argentina,Ecuador,6,1,Friendly,Spain,True
2019-10-15,Sweden,Spain,1,1,European Championship qual,Sweden,False
2019-11-15,Argentina,Brazil,1,0,Friendly,Saudi Arabia,True
2019-11-15,Spain,Malta,7,0,European Championship qual,Spain,False
2019-11-18,Argentina,Uruguay,2,2,Friendly,Israel,True
2019-11-18,Spain,Romania,5,0,European Championship qual,Spain,False
2020-09-03,Germany,Spain,1,1,European Nations League A,Germany,False
2020-09-06,Spain,Ukraine,4,0,European Nations League A,Spain,False
2020-10-07,Portugal,Spain,0,0,Friendly,Portugal,False
2020-10-08,Argentina,Ecuador,1,0,World Cup qualifier,Argentina,False
2020-10-10,Spain,Switzerland,1,0,European Nations League A,Spain,False
2020-10-13,Bolivia,Argentina,1,2,World Cup qualifier,Bolivia,False
2020-10-13,Ukraine,Spain,1,0,European Nations League A,Ukraine,False
2020-11-11,Netherlands,Spain,1,1,Friendly,Netherlands,False
2020-11-12,Argentina,Paraguay,1,1,World Cup qualifier,Argentina,False
2020-11-14,Switzerland,Spain,1,1,European Nations League A,Switzerland,False
2020-11-17,Peru,Argentina,0,2,World Cup qualifier,Peru,False
2020-11-17,Spain,Germany,6,0,European Nations League A,Spain,False
2021-03-25,Spain,Greece,1,1,World Cup qualifier,Spain,False
2021-03-28,Georgia,Spain,1,2,World Cup qualifier,Georgia,False
2021-03-31,Spain,Kosovo,3,1,World Cup qualifier,Spain,False
2021-06-03,Argentina,Chile,1,1,World Cup qualifier,Argentina,False
2021-06-04,Spain,Portugal,0,0,Friendly,Spain,False
2021-06-08,Colombia,Argentina,2,2,World Cup qualifier,Colombia,False
2021-06-08,Spain,Lithuania,4,0,Friendly,Spain,False
2021-06-14,Argentina,Chile,1,1,Copa America,Brazil,True
2021-06-14,Spain,Sweden,0,0,European Championship,Spain,False
2021-06-18,Argentina,Uruguay,1,0,Copa America,Brazil,True
